Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
 Mini-Project: Sticker Art,https://studio.code.org/s/express-2022/lessons/11,9-18,This mini-project lesson builds on the understanding of loops. Students will create unique artwork with the Artist.,Esercizi,Difficile,60-90,Inglese,"['project lesson builds', 'create unique artwork', 'understanding', 'students', 'mini']"
 Nested Loops in Maze,https://studio.code.org/s/express-2022/lessons/12,9-18,"In this skill-building lesson, students will learn how to program a loop inside of another loop.",Video,Media,30-60,Inglese,"['loop inside', 'building lesson', 'another loop', 'students', 'skill']"
 Snowflakes with Anna and Elsa,https://studio.code.org/s/express-2022/lessons/13,9-18,This mini-project lesson takes students through a series of exercises to create snowflake images using characters from the Frozen movies.,Esercizi,Difficile,60-90,Inglese,"['create snowflake images using characters', 'project lesson takes students', 'frozen movies', 'series', 'mini']"
 Looking Ahead with Minecraft,https://studio.code.org/s/express-2022/lessons/14,9-18,This skill-building lesson gives students the chance to practice concepts that they have learned up to this point and get their first experience with conditionals!,Esercizi,Media,30-60,Inglese,"['building lesson gives students', 'practice concepts', 'first experience', 'skill', 'point']"
 If/Else with Bee,https://studio.code.org/s/express-2022/lessons/15,9-18,"In this skill-building lesson, your class will continue to code with conditionals, allowing them to write code that functions differently depending on the specific conditions the program encounters.",Video,Media,30-60,Inglese,"['functions differently depending', 'specific conditions', 'program encounters', 'building lesson', 'write code']"
 While Loops in Farmer,https://studio.code.org/s/express-2022/lessons/16,9-18,"In this skill-building lesson, students will be working to fill holes and dig dirt in Farmer, but they will not know the size of the holes or the height of the mounds of dirt. To solve these puzzles, students will use a new kind of loop.",Video,Difficile,60-90,Inglese,"['new kind', 'building lesson', 'fill holes', 'dig dirt', 'holes']"
 Conditionals in Minecraft: Voyage Aquatic,https://studio.code.org/s/express-2022/lessons/17,9-18,"In this context-setting lesson, students will get the chance to practice content that they have learned up to this point, as well as getting a sneak peek at conditionals!",Video,Difficile,60-90,Inglese,"['sneak peek', 'setting lesson', 'practice content', 'well', 'students']"
 Until Loops in Maze,https://studio.code.org/s/express-2022/lessons/18,9-18,"In this skill-building lesson, students will learn about until loops. Students will build programs that have the main character repeat actions until they reach their desired stopping point.",Video,Difficile,60-90,Inglese,"['main character repeat actions', 'desired stopping point', 'building lesson', 'build programs', 'students']"
 Harvesting with Conditionals,https://studio.code.org/s/express-2022/lessons/19,9-18,"Students will practice while loops, until loops, and if / else statements. All of these blocks use conditionals. By practicing all three, students will learn to write complex and flexible code.",Video,Media,30-60,Inglese,"['blocks use conditionals', 'write complex', 'flexible code', 'else statements', 'three']"
 Functions in Minecraft,https://studio.code.org/s/express-2022/lessons/20,9-18,"In this skill-building lesson, students will begin to understand how functions can be helpful!",Video,Difficile,60-90,Inglese,"['building lesson', 'understand', 'students', 'skill', 'helpful']"
 Functions with Harvester,https://studio.code.org/s/express-2022/lessons/21,9-18,"In this skill-building lesson, students will use conditionals with functions to harvest crops in Harvester.",Video,Media,30-60,Inglese,"['use conditionals', 'harvest crops', 'building lesson', 'students', 'skill']"
 Functions with Artist,https://studio.code.org/s/express-2022/lessons/22,9-18,"In this skill-building lesson, students will use functions with the Artist.",Esercizi,Difficile,60-90,Inglese,"['use functions', 'building lesson', 'students', 'skill', 'artist']"
 Text and Prompts,https://studio.code.org/s/express-2022/lessons/23,9-18,"In this skill-building lesson, students will get practice with variables in Sprite Lab. ",Video,Media,30-60,Inglese,"['sprite lab', 'get practice', 'building lesson', 'variables', 'students']"
 Counting with Variables,https://studio.code.org/s/express-2022/lessons/24,9-18,"In this skill-building lesson, students will use variables to track a value that changes over time, like a counter. This lesson also includes a short mini-project in which students create a simple game.",Esercizi,Media,30-60,Inglese,"['lesson also includes', 'building lesson', 'use variables', 'simple game', 'short mini']"
 Using Variables with the Artist,https://studio.code.org/s/express-2022/lessons/25,9-18,"In this skill-building lesson, students will explore the creation of repetitive designs using variables in the Artist environment. Students will learn how variables make code easier to write and easier to read. After guided puzzles, students will end in a free play level to show what they have learned and create new designs.",Video,Media,30-60,Inglese,"['repetitive designs using variables', 'variables make code easier', 'create new designs', 'free play level', 'guided puzzles']"
 Variables with the Bee,https://studio.code.org/s/express-2022/lessons/26,9-18,This skill-building lesson will help illustrate how variables can make programs more dynamic by allowing values to change while the code is running.,Esercizi,Difficile,60-90,Inglese,"['make programs', 'help illustrate', 'building lesson', 'allowing values', 'variables']"
 For Loops with Bee,https://studio.code.org/s/express-2022/lessons/27,9-18,This skill-building lesson focuses on for loops and using an incrementing variable to solve more complicated puzzles. ,Video,Difficile,60-90,Inglese,"['building lesson focuses', 'incrementing variable', 'complicated puzzles', 'using', 'solve']"
 For Loops with Artist,https://studio.code.org/s/express-2022/lessons/28,9-18,"In this skill-building lesson, students practice “for” loops with Artist. Students will complete puzzles to create complex designs and unique art.",Video,Difficile,60-90,Inglese,"['create complex designs', 'students practice “', '” loops', 'unique art', 'complete puzzles']"
 End of Course Project,https://studio.code.org/s/express-2022/lessons/29,9-18,"This project lesson takes students through the process of designing, developing, and showcasing new projects!",Testo,Media,30-60,Inglese,"['project lesson takes students', 'showcasing new projects', 'process', 'developing', 'designing']"
Safety in My Online Neighborhood,https://studio.code.org/s/coursea-2022/lessons/1,4-7,,Testo,Media,30-60,Inglese,[]
Learn to Drag and Drop,https://studio.code.org/s/coursea-2022/lessons/2,4-7,"This skill-building lesson will give students an idea of what to expect when they head to the computer lab. It begins with a brief discussion introducing them to computer lab manners, then they will progress into using a computer to complete online puzzles.",Esercizi,Media,30-60,Inglese,"['complete online puzzles', 'brief discussion introducing', 'computer lab manners', 'computer lab', 'give students']"
Happy Maps,https://studio.code.org/s/coursea-2022/lessons/3,4-7,"This context-setting lesson brings together teams with a simple task: get the ""flurb"" to the fruit. Students will practice writing precise instructions as they work to translate instructions into the symbols provided.",Testo,Media,30-60,Inglese,"['setting lesson brings together teams', 'practice writing precise instructions', 'translate instructions', 'symbols provided', 'simple task']"
Sequencing with Scrat,https://studio.code.org/s/coursea-2022/lessons/4,4-7,"In this skill-building lesson, students will develop sequential algorithms to move a squirrel character from one side of a maze to the acorn at the other side. To do this they will stack code blocks together in a linear sequence.",Video,Media,30-60,Inglese,"['stack code blocks together', 'develop sequential algorithms', 'squirrel character', 'linear sequence', 'building lesson']"
Programming with Scrat,https://studio.code.org/s/coursea-2022/lessons/5,4-7,"In this skill-building lesson, students will continue to develop sequential algorithms.",Video,Media,30-60,Inglese,"['develop sequential algorithms', 'building lesson', 'students', 'skill', 'continue']"
Programming with Rey and BB-8,https://studio.code.org/s/coursea-2022/lessons/6,4-7,"In this skill-building lesson, students will use their newfound programming skills in more complicated ways to navigate a tricky course with BB-8.",Video,Difficile,60-90,Inglese,"['newfound programming skills', 'tricky course', 'complicated ways', 'building lesson', 'use']"
Happy Loops,https://studio.code.org/s/coursea-2022/lessons/7,4-7,"This context-setting lesson revisits Happy Maps. This time, students will use loops to solve bigger, longer puzzles with their code.",Testo,Media,30-60,Inglese,"['setting lesson revisits happy maps', 'use loops', 'solve bigger', 'longer puzzles', 'time']"
Loops with Scrat,https://studio.code.org/s/coursea-2022/lessons/8,4-7,"In this skill-building lesson, students will practice loops in programming puzzles where the goal is to help the squirrel reach the acorn.",Video,Media,30-60,Inglese,"['squirrel reach', 'programming puzzles', 'practice loops', 'building lesson', 'students']"
Loops with Laurel,https://studio.code.org/s/coursea-2022/lessons/9,4-7,"In this skill-building lesson, students continue learning the concept of loops. Here, students use loops to collect treasure in open cave spaces.",Video,Media,30-60,Inglese,"['students continue learning', 'open cave spaces', 'students use loops', 'collect treasure', 'building lesson']"
 Ocean Scene with Loops,https://studio.code.org/s/coursea-2022/lessons/10,4-7,"In this skill-building lesson, students learn to draw images by looping simple sequences of instructions. Here, loops are creating patterns. At the end of this lesson, students will create their own images.",Video,Media,30-60,Inglese,"['looping simple sequences', 'creating patterns', 'students learn', 'draw images', 'building lesson']"
 The Big Event Jr.,https://studio.code.org/s/coursea-2022/lessons/11,4-7,"In this context-setting lesson, the class will experience the concept of events through a game where they move or shout when you press buttons on a giant remote.",Testo,Media,30-60,Inglese,"['setting lesson', 'press buttons', 'giant remote', 'shout', 'move']"
 Mini-Project: On the Move with Play Lab,https://studio.code.org/s/coursea-2022/lessons/12,4-7,"In this mini-project, students will use events in Play Lab and apply all of the coding skills they've learned to create an animated game. It's time to get creative and make a story in the Play Lab!",Video,Media,30-60,Inglese,"['use events', 'play lab', 'play lab', 'get creative', 'coding skills']"
 End of Course Project,https://studio.code.org/s/coursea-2022/lessons/13,4-7,"In this project lesson, students apply what they have learned about sequencing and loops with the Artist.",Testo,Media,30-60,Inglese,"['students apply', 'project lesson', 'sequencing', 'loops', 'learned']"
Digital Trails,https://studio.code.org/s/courseb-2022/lessons/1,5-8, ,Testo,Media,30-60,Inglese,[]
"Move It, Move It",https://studio.code.org/s/courseb-2022/lessons/2,5-8,Students will program their classmates to step carefully around a large grid on the floor in this context-setting lesson.,Testo,Media,30-60,Inglese,"['step carefully around', 'setting lesson', 'large grid', 'students', 'program']"
Sequencing with Angry Birds,https://studio.code.org/s/courseb-2022/lessons/3,5-8,"In this skill-building lesson, students will develop sequential algorithms to move a bird from one side of a maze to the pig at the other side. To do this they will stack code blocks together in a linear sequence.",Video,Media,30-60,Inglese,"['stack code blocks together', 'develop sequential algorithms', 'linear sequence', 'building lesson', 'one side']"
Programming with Angry Birds,https://studio.code.org/s/courseb-2022/lessons/4,5-8,"In this skill-building lesson, students will continue to develop sequential algorithms.",Video,Media,30-60,Inglese,"['develop sequential algorithms', 'building lesson', 'students', 'skill', 'continue']"
Programming with Harvester,https://studio.code.org/s/courseb-2022/lessons/5,5-8,Students will apply the programming concepts that they have learned to the Harvester environment in this skill-building lesson. Students will continue to develop sequential algorithm skills and start using the debugging process.,Video,Media,30-60,Inglese,"['develop sequential algorithm skills', 'start using', 'programming concepts', 'harvester environment', 'debugging process']"
Getting Loopy,https://studio.code.org/s/courseb-2022/lessons/6,5-8,"In this context-setting lesson, students will learn to use loops to more easily communicate instructions by looking at the repeated patterns of a dance.",Testo,Media,30-60,Inglese,"['easily communicate instructions', 'use loops', 'setting lesson', 'repeated patterns', 'students']"
Loops with Harvester,https://studio.code.org/s/courseb-2022/lessons/7,5-8,"In this skill-building lesson, students will help the harvester collect crops by using loops.",Video,Media,30-60,Inglese,"['harvester collect crops', 'using loops', 'building lesson', 'students', 'skill']"
Loops with Laurel,https://studio.code.org/s/courseb-2022/lessons/8,5-8,"In this skill-building lesson, students continue learning the concept of loops. Here, Laurel the Adventurer uses loops to collect treasure in open cave spaces. ",Video,Media,30-60,Inglese,"['students continue learning', 'open cave spaces', 'adventurer uses loops', 'collect treasure', 'building lesson']"
Drawing Gardens with Loops,https://studio.code.org/s/courseb-2022/lessons/9,5-8,"In this skill-building lesson, students learn to draw images by looping simple sequences of instructions. Here, students use loops to create patterns. ",Video,Media,30-60,Inglese,"['looping simple sequences', 'students use loops', 'students learn', 'draw images', 'create patterns']"
 The Right App,https://studio.code.org/s/courseb-2022/lessons/10,5-8,"In this exploratory lesson, students empathize with several fictional smartphone users to help them find the “right app” that addresses their needs.",Testo,Media,30-60,Inglese,"['“ right app ”', 'several fictional smartphone users', 'students empathize', 'exploratory lesson', 'needs']"
 The Big Event Jr.,https://studio.code.org/s/courseb-2022/lessons/11,5-8,"In this context-setting lesson, the class will experience the concept of events through a game where they move or shout when you press buttons on a giant remote.",Testo,Media,30-60,Inglese,"['setting lesson', 'press buttons', 'giant remote', 'shout', 'move']"
 Mini-Project: A Royal Battle with Events,https://studio.code.org/s/courseb-2022/lessons/12,5-8,"In this mini-project, students will have the opportunity to learn how to use events in Play Lab and apply all of the coding skills that they've learned to create an animated game. ",Video,Media,30-60,Inglese,"['use events', 'play lab', 'coding skills', 'animated game', 'students']"
 End of Course Project,https://studio.code.org/s/courseb-2022/lessons/13,5-8,"In this project lesson, students apply what they have learned about sequencing and events in an open-ended project with Play Lab.",Testo,Media,30-60,Inglese,"['students apply', 'project lesson', 'play lab', 'ended project', 'sequencing']"
Putting a STOP to Online Meanness,https://studio.code.org/s/coursec-2022/lessons/1,6-10, ,Testo,Media,30-60,Inglese,[]
My Robotic Friends Jr.,https://studio.code.org/s/coursec-2022/lessons/2,6-10,"In this context-setting lesson, students will use a set of symbols to instruct a ""robot"" to stack cups in different patterns. Students will take turns participating as the robot, responding only to the algorithm defined by their peers.",Testo,Media,30-60,Inglese,"['take turns participating', 'stack cups', 'setting lesson', 'different patterns', 'algorithm defined']"
Programming with Angry Birds,https://studio.code.org/s/coursec-2022/lessons/3,6-10,"In this skill-building lesson, students will develop sequential algorithms to move a bird from one side of a maze to the pig at the other side. To do this they will stack code blocks together in a linear sequence, making them move straight, turn left, or turn right.",Video,Media,30-60,Inglese,"['stack code blocks together', 'develop sequential algorithms', 'turn right', 'turn left', 'linear sequence']"
Debugging in Maze,https://studio.code.org/s/coursec-2022/lessons/4,6-10,"In this skill-building lesson, students will encounter pre-written code that contains mistakes. They will need to step through the existing code to identify errors.",Video,Media,30-60,Inglese,"['written code', 'identify errors', 'existing code', 'encounter pre', 'contains mistakes']"
Collecting Treasure with Laurel,https://studio.code.org/s/coursec-2022/lessons/5,6-10,"In this skill-building lesson, students will continue to develop their understanding of algorithms and debugging. With a new character, Laurel the Adventurer, students will create sequential algorithms to get Laurel to pick up treasure as she walks along a path.",Video,Media,30-60,Inglese,"['create sequential algorithms', 'walks along', 'new character', 'building lesson', 'get laurel']"
Creating Art with Code,https://studio.code.org/s/coursec-2022/lessons/6,6-10,"In this skill-building lesson, students will take control of the Artist to complete drawings on the screen.",Video,Media,30-60,Inglese,"['take control', 'complete drawings', 'building lesson', 'students', 'skill']"
My Loopy Robotic Friends Jr.,https://studio.code.org/s/coursec-2022/lessons/7,6-10,"This context-setting lesson builds on the initial ""My Robotic Friends"" activity, featuring larger and more complicated designs. ",Testo,Media,30-60,Inglese,"['setting lesson builds', 'robotic friends', 'featuring larger', 'complicated designs', 'initial']"
Loops with Rey and BB-8,https://studio.code.org/s/coursec-2022/lessons/8,6-10,This skill-building lesson has students using loops to help BB-8 efficiently traverse a maze.,Video,Media,30-60,Inglese,"['students using loops', '8 efficiently traverse', 'help bb', 'building lesson', 'skill']"
Harvesting Crops with Loops,https://studio.code.org/s/coursec-2022/lessons/9,6-10,Students loop new actions to help the harvester collect multiple veggies growing in large bunches in this skill-building lesson.,Video,Media,30-60,Inglese,"['harvester collect multiple veggies growing', 'students loop new actions', 'large bunches', 'building lesson', 'skill']"
 Mini-Project: Sticker Art,https://studio.code.org/s/coursec-2022/lessons/10,6-10,This mini-project lesson builds on the understanding of loops from previous lessons. Students will create unique artwork with the Artist.,Esercizi,Difficile,60-90,Inglese,"['project lesson builds', 'create unique artwork', 'previous lessons', 'understanding', 'students']"
 The Big Event,https://studio.code.org/s/coursec-2022/lessons/11,6-10,"In this context-setting lesson, students will learn that events are a great way to add flexibility to a pre-written algorithm.",Testo,Media,30-60,Inglese,"['written algorithm', 'setting lesson', 'great way', 'add flexibility', 'students']"
 Build a Flappy Game,https://studio.code.org/s/coursec-2022/lessons/12,6-10,"This lesson combines skill-building around events with a mini-project where students get to build their own Flappy Bird game. At the end of the lesson, students will be able to customize their game by changing the visuals or rules.",Video,Difficile,60-90,Inglese,"['building around events', 'lesson combines skill', 'flappy bird game', 'students get', 'lesson']"
 Mini-Project: Chase Game,https://studio.code.org/s/coursec-2022/lessons/13,6-10,This lesson combines skill-building around events with a mini-project where students get to build their own animated game.,Video,Media,30-60,Inglese,"['lesson combines skill', 'building around events', 'students get', 'animated game', 'project']"
 Picturing Data,https://studio.code.org/s/coursec-2022/lessons/14,6-10,Students will collect data from a Play Lab project and visualize it using different graphs in this exploratory lesson.,Esercizi,Media,30-60,Inglese,"['using different graphs', 'play lab project', 'exploratory lesson', 'collect data', 'visualize']"
 Binary Bracelets,https://studio.code.org/s/coursec-2022/lessons/15,6-10,This exploratory lesson introduces the concept of binary which is how computers today store all sorts of information.,Testo,Media,30-60,Inglese,"['exploratory lesson introduces', 'computers today store', 'sorts', 'information', 'concept']"
 End of Course Project,https://studio.code.org/s/coursec-2022/lessons/16,6-10,"This project lesson takes students through designing, developing, and showcasing new Play Lab projects.",Esercizi,Media,30-60,Inglese,"['showcasing new play lab projects', 'project lesson takes students', 'developing', 'designing']"
Password Power-Up,https://studio.code.org/s/coursed-2022/lessons/1,7-11, ,Testo,Media,30-60,Inglese,[]
Graph Paper Programming,https://studio.code.org/s/coursed-2022/lessons/2,7-11,"In this context-setting lesson, students use symbols to instruct each other to color squares on graph paper. By ""programming"" one another to draw pictures, students get an opportunity to experience some of the core concepts of programming in a fun and accessible way. ",Testo,Media,30-60,Inglese,"['students use symbols', 'students get', 'setting lesson', 'one another', 'graph paper']"
Introduction to Online Puzzles,https://studio.code.org/s/coursed-2022/lessons/3,7-11,"In this skill-building lesson, students will practice their sequencing and debugging skills in maze puzzles.",Video,Difficile,60-90,Inglese,"['maze puzzles', 'debugging skills', 'building lesson', 'students', 'skill']"
Relay Programming,https://studio.code.org/s/coursed-2022/lessons/4,7-11,"This context-setting lesson will begin with a short lesson on debugging and persistence, then will quickly move to a race against the clock as students break into teams and work together to write a program one instruction at a time.",Testo,Media,30-60,Inglese,"['program one instruction', 'work together', 'students break', 'short lesson', 'setting lesson']"
Debugging with Laurel,https://studio.code.org/s/coursed-2022/lessons/5,7-11,"In this skill-building lesson, students will practice debugging in the ""collector"" environment. Students will get to practice reading and editing code to fix puzzles with simple algorithms, loops and nested loops.",Video,Difficile,60-90,Inglese,"['simple algorithms', 'practice reading', 'practice debugging', 'fix puzzles', 'editing code']"
Events in Bounce,https://studio.code.org/s/coursed-2022/lessons/6,7-11,"In this context-setting/skill-building lesson, students will learn what events are and how programmers use them in video games. Students will build a game that they can customize with different speeds and sounds.",Esercizi,Media,30-60,Inglese,"['video games', 'programmers use', 'different speeds', 'building lesson', 'students']"
Build a Star Wars Game,https://studio.code.org/s/coursed-2022/lessons/7,7-11,"In this skill-building lesson, students will practice using events to build a game that they can share.",Video,Media,30-60,Inglese,"['practice using events', 'building lesson', 'students', 'skill', 'share']"
Dance Party,https://studio.code.org/s/coursed-2022/lessons/8,7-11,"In this skill-building lesson, students will program an interactive dance party. ",Video,Media,30-60,Inglese,"['interactive dance party', 'building lesson', 'students', 'skill', 'program']"
Loops in Ice Age,https://studio.code.org/s/coursed-2022/lessons/9,7-11,This context-setting/skill-building lesson will quickly introduce students to loops.,Video,Media,30-60,Inglese,"['quickly introduce students', 'building lesson', 'skill', 'setting', 'loops']"
 Drawing Shapes with Loops,https://studio.code.org/s/coursed-2022/lessons/10,7-11,This skill-building lesson builds on the understanding of loops from the previous lesson and doubles as a debugging exercise for extra problem-solving practice.,Video,Difficile,60-90,Inglese,"['building lesson builds', 'previous lesson', 'solving practice', 'extra problem', 'debugging exercise']"
 Nested Loops in Maze,https://studio.code.org/s/coursed-2022/lessons/11,7-11,"In this skill-building lesson, students will learn how to program a loop inside of another loop.",Video,Media,30-60,Inglese,"['loop inside', 'building lesson', 'another loop', 'students', 'skill']"
 Conditionals with Cards,https://studio.code.org/s/coursed-2022/lessons/12,7-11,"In this context-setting lesson, students will write conditional (if/else) statements to state the rules of simple card games. ",Testo,Media,30-60,Inglese,"['simple card games', 'write conditional', 'setting lesson', 'students', 'statements']"
 Looking Ahead with Minecraft,https://studio.code.org/s/coursed-2022/lessons/13,7-11,This skill-building lesson gives students the chance to practice concepts that they have learned up to this point and get their first experience with conditionals!,Esercizi,Media,30-60,Inglese,"['building lesson gives students', 'practice concepts', 'first experience', 'skill', 'point']"
 If/Else with Bee,https://studio.code.org/s/coursed-2022/lessons/14,7-11,"In this skill-building lesson, your class will continue to code with conditionals, allowing them to write code that functions differently depending on the specific conditions the program encounters.",Video,Media,30-60,Inglese,"['functions differently depending', 'specific conditions', 'program encounters', 'building lesson', 'write code']"
 While Loops in Farmer,https://studio.code.org/s/coursed-2022/lessons/15,7-11,"In this skill-building lesson, students will be working to fill holes and dig dirt in Farmer, but they will not know the size of the holes or the height of the mounds of dirt. To solve these puzzles, students will use a new kind of loop.",Video,Media,30-60,Inglese,"['new kind', 'building lesson', 'fill holes', 'dig dirt', 'holes']"
 Until Loops in Maze,https://studio.code.org/s/coursed-2022/lessons/16,7-11,"In this skill-building lesson, students will learn about ""until"" loops. Students will build programs that have the main character repeat actions ""until"" they reach their desired stopping point.",Video,Media,30-60,Inglese,"['main character repeat actions', 'desired stopping point', 'building lesson', 'build programs', 'students']"
 End of Course Project,https://studio.code.org/s/coursed-2022/lessons/17,7-11,"This project lesson takes students through the process of designing, developing, and showcasing new projects!",Testo,Media,30-60,Inglese,"['project lesson takes students', 'showcasing new projects', 'process', 'developing', 'designing']"
Be A Super Digital Citizen,https://studio.code.org/s/coursee-2022/lessons/1,8-12, ,Testo,Media,30-60,Inglese,[]
Private and Personal Information,https://studio.code.org/s/coursee-2022/lessons/2,8-12, ,Testo,Media,30-60,Inglese,[]
Swimming Fish with Sprite Lab,https://studio.code.org/s/coursee-2022/lessons/3,8-12,Students will program a simple animated underwater scene in this skill-building lesson.,Video,Media,30-60,Inglese,"['simple animated underwater scene', 'building lesson', 'students', 'skill', 'program']"
