id;link;disciplines;keywords;title;description;type;language;difficulty;format;duration;public;min_age;max_age;resource_image
38;https://www.merlot.org/merlot/viewMaterial.htm?id=75146;Science and Technology/Engineering/Aerospace and Aeronautical Engineering;compressible,shock,arithmetic usually,isentropic;Compressible Aerodynamics Calculator;This calculator is designed to replace tables (e.g. NACA 1135) in performing basic compressible aerodynamics calculations. It is designed for those learning, teaching or using compressible aerodynamics. It computes (both forward and backward) isentropic flow, normal shock and oblique shock relations. It also has a scratch pad for doing the additional arithmetic usually needed to solve compressible aero problems.... Show More;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
39;https://www.merlot.org/merlot/viewMaterial.htm?id=74942;Science and Technology/Physics/Classical Mechanics/Energy and Momentum;collision,applet;Conservation of Momentum in Different Inertial Frame -Collision;Newtons law of motion look the same to all observers in inertial frames of reference. It is equally true that if momentum is conserved in one inertial reference frame, it is conserved in all inertial frames. This java applet apply the above concept to one-dimentional collision problem.;Animation;English;Medio bassa;;0-30;['College General Ed'];18;20;
40;https://www.merlot.org/merlot/viewMaterial.htm?id=75342;Humanities/Philosophy;hero;The Heros Journey;This site creates an environment where anyone can explore the mythical hero structure described by Joseph Campbell and also create a story .;Simulation;English;Media;Document;0-30;['College General Ed'];18;20;
41;https://www.merlot.org/merlot/viewMaterial.htm?id=75414;Arts/Music/Music Appreciation;extensive,wallace,heritage,sites;Americas Jazz Heritage;Americas Jazz Heritage Website is part of a project generated by a partnership of the Lila Wallace-Readers Digest Fund and the Smithsonian Institution that is focussed on the preservation and presentation of the history of jazz. This site includes audio clips, interviews, schedules of exhibitions and performances, extensive bibliographies, and links to related sites.... Show More;Collection;English;Medio bassa;Other;0-30;['College General Ed'];18;20;
42;https://www.merlot.org/merlot/viewMaterial.htm?id=74279;Humanities/World Languages/French/Language;french,originally,basic course,includes interactive;GRIFF: a French grammar teaching site;GRIFF includes interactive exercises in French grammar, vocabulary, reading and composition based on a corpus of literary texts by French Canadian authors from the western part of the country. A version with grammar and exercises only is also available. Originally conceived as supporting material for an existing basic course at university level for students with a French immersion background, this website may be adapted for intermediate or advanced FSL learners. Adjustment needed for FSL may be more or less significant, depending on course goals and the studentss exposure to literature.;Simulation;English;Media;;0-30;['College General Ed'];18;20;
43;https://www.merlot.org/merlot/viewMaterial.htm?id=74434;Science and Technology/Physics/Modern Physics/Nuclear and Particle;decay;Natural Radioactive Series;Interative representation of radioactive decay series: Th232, Pu241, U238, U235.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
44;https://www.merlot.org/merlot/viewMaterial.htm?id=74436;Science and Technology/Physics/Oscillations and Waves/Waves;panels;Superposition Physlet;Animates one or two functions of position and time, and their superposition, in separate panels inside the applet. A wide range of functions can be used. There are demonstrations of both the basic physlet and example of exercises using the physlet.;Simulation;English;Medio bassa;Website;0-30;['College General Ed'];18;20;
45;https://www.merlot.org/merlot/viewMaterial.htm?id=74290;Science and Technology/Physics/Modern Physics/Condensed Matter;energy;Localized Energy States and Fermi Level;...shows the Fermi function at a given termperature T. Show More;Simulation;English;Medio bassa;Website;0-30;['College General Ed'];18;20;
46;https://www.merlot.org/merlot/viewMaterial.htm?id=74557;Mathematics and Statistics/Statistics and Probability;1D Random Walk (Statistics, Mathematics);1D Random Walk (Statistics, Mathematics);Take random steps left or right and see how far you get. You wont go far very often.;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
47;https://www.merlot.org/merlot/viewMaterial.htm?id=74562;Mathematics and Statistics/Mathematics/Dynamical Systems/Fractal Geometry;fractional dimension,natural fractals,lines,measuring coastline,generated,dynamical systems;Coastline (Mathematics, Fractals);Includes teacher generated activities. A section of the coast line is randomly given an angle (two lines), resulting in a smooth coastline gradually getting rougher and more fractal each click.;Simulation;English;Medio bassa;;0-30;['College General Ed'];18;20;
48;https://www.merlot.org/merlot/viewMaterial.htm?id=74563;Mathematics and Statistics/Statistics and Probability/Probability;dots;Forest Fires and Percolation;Grow trees (green dots), then start fire (red dots), and watch destroyed trees (black dots) form a trail behind the fire.;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
49;https://www.merlot.org/merlot/viewMaterial.htm?id=74368;Social Sciences/Psychology/Sensation and Perception;human;Necker Cube Animation (Human Perception);Watch as a stick is inserted into a Necker Cube from a variety of directions.;Simulation;English;Bassa;Website;0-30;['College General Ed'];18;20;
50;https://www.merlot.org/merlot/viewMaterial.htm?id=74369;Social Sciences/Psychology/Sensation and Perception;HyperCube Animation (Human Perception);HyperCube Animation (Human Perception);Watch and change controls of a revolving HyperCube (4D Cube);Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
51;https://www.merlot.org/merlot/viewMaterial.htm?id=74382;Business/Economics/Micro;demanded changes;Elasticity Lecture & Problems (Economics);Elasticity = Responsiveness: the elasticity of demand tells us how much the quantity demanded changes when the price changes. Read the lecture, then work the problems (Java applets tell you if you are right or wrong);Tutorial;English;Medio bassa;;30-60;['College General Ed'];18;20;
52;https://www.merlot.org/merlot/viewMaterial.htm?id=74383;Business/Economics/Micro;responsiveness;Elasticity II Lecture & Problems (Economics);Elasticity has a quantitative meaning, a specific way of measuring responsiveness. Read the lecture and try to answer the problems, with Java applet as your grader.;Tutorial;English;Medio bassa;;30-60;['College General Ed'];18;20;
53;https://www.merlot.org/merlot/viewMaterial.htm?id=74384;Mathematics and Statistics/Mathematics/Differential Equations/Elementary;differential equation,damping,equilibrium,phase plane,spring,second order;Bungee Jumping;Differential Equations visualization tool;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
54;https://www.merlot.org/merlot/viewMaterial.htm?id=74838;Science and Technology/Physics/Oscillations and Waves/Waves;drag,light;Youngs Double Slit Interference;This is a classic example of interference effects in light waves. Two light rays pass through two slits, separated by a distance d and strike a screen a distance, L, from the slits. You can change this parameters (drag scrollbars to do it) and you will see the result of interference on the screen.;Simulation;English;Medio bassa;;0-30;['High School', 'College General Ed'];14;20;
55;https://www.merlot.org/merlot/viewMaterial.htm?id=74655;Science and Technology/Biology;anatomical,alveolus,filtering,tissue;Human Anatomy On-Line;Interactive human anatomical diagrams, with descriptive links for many anatomical features. Topics include: Artery & Vein Tissue, Cardiovascular System , Bronchial Alveolus, Coronary Bypass, Heart, Kidney/Blood Filtering, Digestive System, Muscular System, Endocrine System, Skeletal System, Lymphatic System, Male and Female Reproductive System, Urinary System... Show More;Simulation;English;Media;;0-30;['High School', 'College General Ed'];14;20;
56;https://www.merlot.org/merlot/viewMaterial.htm?id=75509;Social Sciences/Psychology;experience,ipl,effects,psych,faqs;Stroop Effect;This is a simulation of the Stroop Effect experiment demonstrating the powerful interfernce effects of reading. Concise and clear text supports students experience with the experiment. Personal, printable results are automatically generated for person who does the experiment. A plug in download is required. This Stroop Experiment is one component of the Internet Psych Lab (IPL). The IPL plugin download is found by navigating to Help, FAQs, IPL-Plugin.;Simulation;English;Medio bassa;Other;0-30;['College General Ed'];18;20;
57;https://www.merlot.org/merlot/viewMaterial.htm?id=75511;Education/TeacherEd/Teaching Methods/Arts;tour,time,requires,information,virtual,apple;Van Goghs Van Goghs Virtual Exhibit;The National Gallery of Art in Washington, DC offers us a virtual exhibit of paintings by Van Gogh in two formats. One is with images and text and has no special requirements. The other offers 3-D strolls through the National Gallery of Art to see the images and hear the supporting information and quotes read from Van Goghs own notes. This version requires Apple Quick Time VR, and Real Player. All plug-ins and players are available for free from the opening page of this virtual tour. Information for both Macs and PCs is included. The actual tour is organized around ten different time periods in Van Goghs painting career from early works to self-portraits to Arles. The information is organized well and presented in a thoughtful manner.;Collection;English;Bassa;;0-30;['Middle School', 'High School', 'College General Ed'];11;20;
58;https://www.merlot.org/merlot/viewMaterial.htm?id=76504;Education;sample;The Writers Complex;This will aid students or researchers in navigating through the many complexities of writing. The users can find answers to most problems encountered in the process of writing, as well as self-test skills. Sample papers are available for reference and connections to other writing resources.;Simulation;English;Media;;30-60;['High School', 'College General Ed', 'Graduate School', 'Professional'];14;100;
59;https://www.merlot.org/merlot/viewMaterial.htm?id=75880;Education/TeacherEd;information,color,surf rated,artwork,art;Color Theory;This Safe Surf rated site is geared for elementary and middle school students and teachers. There are several ways to learn about color theory here from online activities and slide shows to external links that provide interactive information about color. Examples of student artwork, work by master artists, and actual art room activities and lesson information (including goals and objectives for lessons, vocabulary, unit ideas, and quizzes) are... Show More;Tutorial;English;Media;Website;0-30;['Grade School', 'Middle School'];6;14;
60;https://www.merlot.org/merlot/viewMaterial.htm?id=76087;Science and Technology/Information Technology/Application Development/Programming;application,rational,coding;J2EE Development Tutorial;This material is a tutorial on building J2EE applications using Forte[tm], Rational Rose and Rational ClearCase. The tutorial first introduces the integrated Forte for Java J2EE development tools and their setup, then provides a step-by-step guide to the process of modeling, coding, packaging, and deploying an example J2EE web application ? using Forte for Java and integrations with Rational Rose, Rational ClearCase, and the J2EE Reference Implementation application server.;Tutorial;English;Bassa;Website;0-30;['College General Ed', 'Professional'];18;100;
61;https://www.merlot.org/merlot/viewMaterial.htm?id=76135;Humanities/World Languages/French/culture;des,centres,epreuves,unite,pedagogiques,nationale;Commission nationale DELF DALF - Langue franÃ§aise - CIEP;Cette section du CIEP (Centre International dÃ©tudes pÃ©dagogiques (France)) offre une description dÃ©taillÃ©e des Ã©preuves du DELF et du DALF ainsi que des exemples de questions posÃ©es aux Ã©preuves orales et Ã©crites de chaque unitÃ©. Les centres dexamens y trouveront aussi la derniÃ¨re mise Ã  jour du logiciel de gestion.;Reference Material;French;Media;Website;0-30;['Middle School', 'High School', 'College General Ed'];11;20;
62;https://www.merlot.org/merlot/viewMaterial.htm?id=75782;Science and Technology/Information Technology/IT Infrastructure/Networking;good;OSI Model Quiz;A good quiz of the concepts covered by the OSI model.;Quiz/Test;English;Medio bassa;Website;0-30;['College General Ed'];18;20;
63;https://www.merlot.org/merlot/viewMaterial.htm?id=75783;Science and Technology/Information Technology/IT Infrastructure/Networking;sense;Carrier Sense Multiple Access/Collision Detection (CSMA/CD);A tutorial on CSMA/CD with color diagrams.;Simulation;English;Medio bassa;Website;0-30;['College General Ed'];18;20;
64;https://www.merlot.org/merlot/viewMaterial.htm?id=77279;Mathematics and Statistics/Mathematics/Pre-Calculus Mathematics/Algebra;inverse,statistics,antiderivative,College Algebra,range,polynomials,factoring,conic,circle,rational expressions,Arithmetic,parabola,lines,exponents,discovery exercises,linear programming,hyperbola,inequalities,hypothesis test,complete the square,Statistics,domain,binomial distribution,ellipse,calculus,word problems,confidence interval,functions,derivative,absolute value,Algebra,Intermediate Algebra,log,complex number,linear expression,composite,Beginning Algebra,series,sequence;Larry Greens Applet Page;Contains dozens of interactive tutorials and discovery exercises for beginning, intermediate, and college algebra.;Tutorial;English;Medio bassa;Website;0-30;['High School', 'College General Ed'];14;20;
65;https://www.merlot.org/merlot/viewMaterial.htm?id=76987;Science and Technology/Biology;students,flash,apart;Human Brain Anatomy;An interactive Flash movie on designed to help students learn all about the structures of the brain visible from a midsagittal section. The parts of the brain are taken apart and put back together to help teach students about the structure and function of the different parts. There is also a quiz to go along with the module.;Tutorial;English;Medio bassa;Flash;0-30;['College General Ed'];18;20;
66;https://www.merlot.org/merlot/viewMaterial.htm?id=75449;Science and Technology/Biology/Human Anatomy and Physiology;science,includes multiple;Cardiovascular Embryology Animations;This website includes multiple animations that illustrate several complex processes in human cardiovascular development. Designed as a tool for medical students, this site is also very helpful as a review for other health science individuals.;Animation;English;Media;;0-30;['College General Ed', 'Graduate School', 'Professional'];18;100;
67;https://www.merlot.org/merlot/viewMaterial.htm?id=75453;Mathematics and Statistics/Mathematics/Developmental Mathematics/Geometry;Platonic,Brachistochrone,Geometry,Reuleaux,Buffon's Needle,Torus,Buffon;Kunkels Mathematics Lessons;This is a collection of Geometers sketchpad applets with description. Even without Geometers sketchpad the pages are very informative.;Animation;English;Bassa;Website;0-30;['High School', 'College General Ed'];14;20;
68;https://www.merlot.org/merlot/viewMaterial.htm?id=75647;Science and Technology/Information Technology/IT Infrastructure/Computer Information Systems;models,uml,diagrams,case,essential,class,collaboration,techniques;The Object Primer: An Introduction to Techniques for Agile Modeling;The purpose of this white paper is to present a brief overview of possible modeling techniques for object-oriented and component-based development, techniques that you could apply as an agile modeler. Although you will not become an expert at any of these techniques by reading this paper, my hope is that you will at least gain an understanding of what techniques you have available to you and how they fit together. The modeling techniques covered in this whitepaper include: Business rules, Change cases, Class responsibility collaborator (CRC) models, Constraints, Essential use case models, Essential user interface prototypes, Persistence/data models, Technical requirements, UML activity diagrams, UML class models, UML collaboration diagrams, UML component diagrams, UML deployment diagrams, UML sequence diagrams, UML state chart diagrams, UML use case models, User interface flow diagrams, and User interface prototypes.;Simulation;English;Bassa;PDF;0-30;['College General Ed', 'Professional'];18;100;
69;https://www.merlot.org/merlot/viewMaterial.htm?id=75648;Science and Technology/Information Technology/IT Infrastructure/Web;style,documents,specifies;Cascading Style Sheets, Level1;This document specifies level 1 of the Cascading Style Sheet mechanism (CSS1). CSS1 is a simple style sheet mechanism that allows authors and readers to attach style (e.g. fonts, colors and spacing) to HTML documents.;Tutorial;English;Bassa;Website;90-120;['College General Ed', 'Graduate School', 'Professional'];18;100;
70;https://www.merlot.org/merlot/viewMaterial.htm?id=75698;Humanities/World Languages/Spanish/Language;ortografia,escritores,narrativa,icarito,virtual,enciclopedia;Icarito Enciclopedia Escolar: Lenguaje y comunicaciÃ³n;The Chilean Icarito Enciclopedia Virtual website also includeds a webpage dedicated to the language arts. This page includes: OrtografÃ­a, GramÃ¡tica, ComunicaciÃ³n y Lenguaje, Narrativa, Teatro y obras dramÃ¡ticas, La LÃ­rica, RedacciÃ³n, Literatura, Escritores chilenos, Premios Nacionales de Literatura, Escritores internacionales. The ortografÃ­a link provides an excellent and thorough description of the spelling rules, e.g., when to use c vs z, or b vs v.;Collection;Spanish;Medio bassa;Website;60-90;['Middle School', 'High School', 'College General Ed'];11;20;
71;https://www.merlot.org/merlot/viewMaterial.htm?id=76236;Science and Technology/Chemistry/Analytical;base;Acid Base Titrations;"This applet simulates the titration of a weak acid (in the beaker) with a strong base (in the burette). The pK of the acid is fixed. Base is added by pushing the stopcock button and the resulting pH is calculated and plotted. By finding the endpoint, we can determine the concentration of acid in the flask; we can also determine the pK of the acid by measuring the pH halfway to the endpoint.... Show More";Simulation;English;Media;Website;0-30;['College General Ed'];18;20;
72;https://www.merlot.org/merlot/viewMaterial.htm?id=76238;Science and Technology/Chemistry;Solubility;Solubility;Solubility animation;Simulation;English;Bassa;;0-30;['College General Ed'];18;20;
73;https://www.merlot.org/merlot/viewMaterial.htm?id=76247;Mathematics and Statistics/Mathematics/Algebra and Number Theory;material,wolfram,encyclopedia,large,reference,mathworld,numerous web;Eric Weissteins World of Mathematics;This site provides an extremely large encyclopedia-style collection of material related to mathematics at the college level and beyond. Much of the material deals with advanced topics. A large number of animated GIFs and java applets are presented as visual aids and the site has won numerous web awards. The World of Mathematics is hosted by Wolfram Research, Inc., and is offered as a free service to the mathematics community.... Show More;Reference Material;English;Medio bassa;Website;0-30;['College General Ed', 'Graduate School', 'Professional'];18;100;
